YEAR,Total
2001,2200
2002,2729
2003,2981
2004,3796
2005,5052
2006,6748
2007,6373
2008,7080
2009,7076
2010,6806
2011,7373
2012,7981
2013,9156
2014,11441
2015,18994
2016,24276
2017,20290
2018,18718
2019,18596
2020,9805
