,Count
2001,73
2002,91
2003,94
2004,91
2005,54
2006,50
2007,42
2008,47
2009,40
2010,42
2011,39
2012,38
2013,50
2014,55
2015,31
2016,39
2017,39
2018,36
2019,53
2020,15
