Date,Amount,Count
2001,0,1
2002,20500,3
2003,0,0
2004,115750,6
2005,6000,4
2006,0,2
2007,230000,6
2008,2965,2
2009,55083,2
2010,1500,2
2011,7200,5
2012,1702,2
2013,167505,4
2014,278145,7
2015,4500,2
2016,191542,7
2017,6106,4
2018,46500,5
2019,3000,5
