YEAR,Total
2001,341
2002,376
2003,624
2004,742
2005,884
2006,1068
2007,1566
2008,1949
2009,2304
2010,3050
2011,3379
2012,3363
2013,2785
2014,2784
2015,3159
2016,3749
2017,4081
2018,3924
2019,4164
2020,2398
