Date,Sum
2010,25228998.660000004
2011,22142406.619999997
2012,21436194.73999999
2013,22165685.81999999
2014,22815555.616000015
2015,23391869.402000006
2016,21385745.985999994
2017,20357866.755999997
2018,20107061.636000007
