YEAR,Total
2001,1126
2002,1081
2003,989
2004,983
2005,1007
2006,867
2007,834
2008,722
2009,698
2010,802
2011,717
2012,860
2013,843
2014,665
2015,585
2016,510
2017,565
2018,424
2019,436
2020,324
