Date,Sum
2010,54701169.98327703
2011,52220518.26050401
2012,50817430.213981025
2013,48201163.73810001
2014,48480428.24079401
2015,47324630.599094056
2016,44152001.96289398
2017,38786629.54329702
2018,41531488.355494015
