Year,Violations
2001,9
2002,11
2003,9
2004,24
2005,21
2006,37
2007,26
2008,28
2009,32
2010,94
2011,173
2012,101
2013,140
2014,171
2015,149
2016,169
2017,171
2018,184
2019,211
2020,148
