Program,State,CD,Facilities,Percent
CAA,OR,,14,4.545454545454546
CWA,OR,,87,2.8375733855185907
RCRA,OR,,34,0.8314991440449988
CAA,OR,2,5,6.25
CWA,OR,2,23,4.174228675136116
RCRA,OR,2,5,0.7132667617689016
