YEAR,Total
2001,0
2002,0
2003,0
2004,0
2005,13
2006,21
2007,79
2008,79
2009,102
2010,68
2011,26
2012,41
2013,86
2014,77
2015,89
2016,78
2017,132
2018,150
2019,133
2020,102
