,Count
2001,989
2002,694
2003,961
2004,954
2005,855
2006,666
2007,436
2008,565
2009,695
2010,648
2011,556
2012,644
2013,921
2014,1267
2015,1327
2016,1157
2017,733
2018,804
2019,849
2020,1567
