,Amount,Count
2001,0.0,3
2002,0.0,11
2003,0.0,10
2004,0.0,12
2005,0.0,4
2006,7500.0,7
2007,0.0,1
2008,0.0,3
2009,0.0,2
2010,0.0,3
2011,0.0,4
2012,0.0,3
2013,0.0,3
2014,0.0,6
2015,0.0,3
2016,0.0,3
2017,0.0,6
2018,0.0,2
2019,0.0,10
2020,0.0,4
