,Count
2001,170
2002,1988
2003,3523
2004,5817
2005,4065
2006,5426
2007,7446
2008,7220
2009,7529
2010,6543
2011,3138
2012,3830
2013,2074
2014,2699
2015,904
2016,868
2017,787
2018,768
2019,824
2020,352
