,Count
2001,167
2002,533
2003,1360
2004,1098
2005,1098
2006,1342
2007,1184
2008,1025
2009,1022
2010,1152
2011,880
2012,818
2013,854
2014,881
2015,1070
2016,722
2017,564
2018,611
2019,698
2020,249
