YEAR,Total
2001,1431
2002,1669
2003,2120
2004,1966
2005,1873
2006,1824
2007,1847
2008,3028
2009,3220
2010,2785
2011,2594
2012,2765
2013,3118
2014,3660
2015,5283
2016,5170
2017,3284
2018,3644
2019,3851
2020,2376
