Year,Violations
2001,1087
2002,1918
2003,2615
2004,3944
2005,4633
2006,5230
2007,5845
2008,6572
2009,5786
2010,6531
2011,5632
2012,5242
2013,6283
2014,7046
2015,8198
2016,10003
2017,11380
2018,12283
2019,11778
2020,6624
