YEAR,Total
2001,280
2002,231
2003,376
2004,455
2005,366
2006,401
2007,592
2008,716
2009,789
2010,779
2011,911
2012,769
2013,742
2014,734
2015,953
2016,890
2017,891
2018,1155
2019,1101
2020,748
