Year,Violations
2001,121
2002,76
2003,75
2004,78
2005,83
2006,71
2007,106
2008,255
2009,184
2010,168
2011,189
2012,173
2013,189
2014,288
2015,220
2016,386
2017,252
2018,182
2019,259
2020,223
