Year,Violations
2001,53
2002,56
2003,67
2004,128
2005,170
2006,238
2007,191
2008,208
2009,193
2010,210
2011,382
2012,270
2013,277
2014,371
2015,310
2016,399
2017,536
2018,477
2019,538
2020,695
