YEAR,Total
2001,17
2002,20
2003,26
2004,2
2005,4
2006,1
2007,0
2008,4
2009,0
2010,2
2011,0
2012,3
2013,21
2014,10
2015,49
2016,55
2017,58
2018,50
2019,65
2020,59
