YEAR,Total
2001,621
2002,1561
2003,3221
2004,4104
2005,5295
2006,5867
2007,5707
2008,6197
2009,5985
2010,5772
2011,5989
2012,5724
2013,5353
2014,4722
2015,4763
2016,3521
2017,3484
2018,3380
2019,4347
2020,2834
2021,1
