YEAR,Total
2001,67
2002,25
2003,22
2004,52
2005,41
2006,46
2007,34
2008,21
2009,32
2010,70
2011,16
2012,18
2013,33
2014,34
2015,51
2016,45
2017,55
2018,57
2019,79
2020,80
