YEAR,Total
2001,10
2002,12
2003,7
2004,9
2005,67
2006,85
2007,147
2008,103
2009,142
2010,193
2011,196
2012,267
2013,602
2014,779
2015,876
2016,881
2017,792
2018,932
2019,1070
2020,738
