YEAR,Total
2001,116
2002,146
2003,144
2004,153
2005,181
2006,211
2007,256
2008,293
2009,281
2010,318
2011,418
2012,377
2013,430
2014,567
2015,640
2016,786
2017,804
2018,1035
2019,1192
2020,664
