,Count
2001,967
2002,2433
2003,2411
2004,2264
2005,2418
2006,2558
2007,2671
2008,2702
2009,2900
2010,3375
2011,3414
2012,2650
2013,2091
2014,1683
2015,1079
2016,1090
2017,1030
2018,1001
2019,958
2020,352
