,Count
2001,945
2002,997
2003,1009
2004,1079
2005,1025
2006,959
2007,1131
2008,1625
2009,1642
2010,1623
2011,1924
2012,1639
2013,1370
2014,1231
2015,1293
2016,1428
2017,1254
2018,1227
2019,2029
2020,586
