YEAR,Total
2001,127
2002,110
2003,169
2004,150
2005,80
2006,114
2007,95
2008,122
2009,171
2010,136
2011,222
2012,329
2013,275
2014,270
2015,262
2016,221
2017,620
2018,1301
2019,1668
2020,999
