Year,Violations
2001,0
2002,0
2003,0
2004,3
2005,66
2006,160
2007,208
2008,216
2009,155
2010,71
2011,55
2012,84
2013,201
2014,224
2015,178
2016,200
2017,184
2018,256
2019,344
2020,236
