Date,Count
2001,81
2002,39
2003,43
2004,73
2005,59
2006,41
2007,38
2008,69
2009,103
2010,95
2011,81
2012,56
2013,63
2014,59
2015,41
2016,78
2017,90
2018,136
2019,44
2020,19
