YEAR,Total
2001,49
2002,39
2003,16
2004,79
2005,444
2006,1133
2007,1715
2008,1936
2009,1737
2010,1293
2011,535
2012,646
2013,1679
2014,1575
2015,1627
2016,1665
2017,1984
2018,2563
2019,3061
2020,2011
