Date,Sum
2010,53003625.803733006
2011,51550708.593921974
2012,48290342.590430014
2013,54527577.5458
2014,54218429.36180004
2015,54668794.69870002
2016,56778459.98509997
2017,50770113.49050002
2018,52277893.242899984
