Year,Violations
2001,242
2002,264
2003,153
2004,103
2005,148
2006,131
2007,140
2008,193
2009,325
2010,470
2011,424
2012,441
2013,552
2014,500
2015,484
2016,1698
2017,1942
2018,2163
2019,2078
2020,1401
