Year,Violations
2001,3
2002,8
2003,33
2004,38
2005,108
2006,205
2007,269
2008,353
2009,517
2010,767
2011,937
2012,910
2013,1196
2014,1474
2015,3084
2016,3444
2017,3774
2018,4732
2019,6214
2020,3845
