YEAR,Total
2001,278
2002,397
2003,532
2004,364
2005,368
2006,469
2007,488
2008,389
2009,361
2010,441
2011,345
2012,401
2013,480
2014,230
2015,218
2016,187
2017,187
2018,140
2019,241
2020,102
