YEAR,Total
2001,284
2002,481
2003,674
2004,911
2005,1097
2006,1157
2007,1296
2008,1363
2009,1402
2010,1251
2011,1355
2012,1170
2013,934
2014,855
2015,838
2016,676
2017,556
2018,593
2019,657
2020,558
