,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
7158,ISLAND CAR WASH,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110062633191,40.85942,-73.07769
11130,THREE MILE HARBOR MARINA,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019838363,41.028,-72.18
12428,EASTHAMPTON POINT MARINA,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040452603,41.01956,-72.17751
29819,MODERN YACHTS LLC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039186564,40.89068,-72.50453
80448,ROBO AUTOMATIC CAR WASH,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012803984,40.76773,-72.99269
127743,MARINER'S COVE MARINE INC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040433199,40.88207,-72.50374000000002
25809,HAMPTON WATERCRAFT AND MARINE,13,,http://echo.epa.gov/detailed-facility-report?fid=110019173892,40.89181,-72.50497
32952,CORWIN / CRESCENT DUCK FARM,13,,http://echo.epa.gov/detailed-facility-report?fid=110028126604,40.941659,-72.618967
54842,MORICHES BOAT AND MOTOR,13,,http://echo.epa.gov/detailed-facility-report?fid=110033203478,40.79119,-72.75406
60899,VILLAGE MARINE OF WESTHAMPTON LTD,13,,http://echo.epa.gov/detailed-facility-report?fid=110040086983,40.804,-72.637
61485,REMSENBURG MARINA,13,,http://echo.epa.gov/detailed-facility-report?fid=110019581255,40.8171,-72.72081999999997
100694,FAIRFIELD SOUTHAMPTON,13,,http://echo.epa.gov/detailed-facility-report?fid=110060367017,40.916389,-72.449722
105111,SENIX MARINE LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110008075803,40.794,-72.805
117058,"PORT OF EGYPT MARINE, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110035860119,41.076,-72.403
124832,PORT JEFFERSON MS4 STORM SEWERS,13,,http://echo.epa.gov/detailed-facility-report?fid=110019549087,40.942767,-73.055909
129667,WOODHAVEN MANOR NURSING HOME,13,,http://echo.epa.gov/detailed-facility-report?fid=110006803405,40.914861,-73.035444
132430,PARKER HANNIFIN CORP FLUID SYSTEMS DIVISION,13,,http://echo.epa.gov/detailed-facility-report?fid=110002093724,40.82034,-73.24839
133115,RALPH'S FISHING STATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110019604034,40.963651,-73.040475
147442,PATCHOGUE SHORES MARINA PROPERTY,13,,http://echo.epa.gov/detailed-facility-report?fid=110019668171,40.75018,-72.97518000000002
19884,SOUTHAMPTON CAR WASH & DETAIL CENTER,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006700819,40.900724,-72.384962
