Year,Violations
2001,3312
2002,3500
2003,3726
2004,3670
2005,4061
2006,4737
2007,4963
2008,5264
2009,5911
2010,6108
2011,6407
2012,6979
2013,9537
2014,10708
2015,11228
2016,11408
2017,14051
2018,14371
2019,15042
2020,7594
