Program,State,CD,Facilities,Percent
CAA,KY,,8,0.8948545861297539
CWA,KY,,2141,11.45838908215146
RCRA,KY,,91,0.8356290174471993
CAA,KY,2,0,0.0
CWA,KY,2,256,9.146123615576991
RCRA,KY,2,16,1.0906612133606
