,Count
2001,947
2002,987
2003,925
2004,1197
2005,1275
2006,1383
2007,1476
2008,1553
2009,1481
2010,1357
2011,1295
2012,1422
2013,1605
2014,1593
2015,1605
2016,1677
2017,1860
2018,1522
2019,1652
2020,968
