YEAR,Total
2001,54
2002,35
2003,79
2004,63
2005,69
2006,70
2007,86
2008,78
2009,35
2010,54
2011,34
2012,32
2013,59
2014,83
2015,93
2016,76
2017,119
2018,177
2019,204
2020,125
