YEAR,Total
2001,3
2002,8
2003,14
2004,8
2005,4
2006,5
2007,21
2008,27
2009,21
2010,111
2011,179
2012,154
2013,126
2014,150
2015,165
2016,127
2017,108
2018,108
2019,106
2020,78
