,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
2209,CONEY ISLAND WATER POLLUTION CONTROL PLANT,13,5.0,http://echo.epa.gov/detailed-facility-report?fid=110004332464,40.589682,-73.933184
59262,BROOKLYN YACHT CLUB,13,,http://echo.epa.gov/detailed-facility-report?fid=110019825661,40.58825,-73.93072
142992,JET AUTO WRECKERS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110037106832,40.641394,-73.91964200000002
61608,M & M SICITANO READY MIX CORP,0,,http://echo.epa.gov/detailed-facility-report?fid=110067379535,40.6406,-73.92048
