YEAR,Total
2001,2322
2002,2438
2003,2088
2004,1670
2005,1534
2006,1409
2007,1254
2008,1259
2009,1057
2010,909
2011,877
2012,695
2013,720
2014,745
2015,799
2016,796
2017,728
2018,1064
2019,1620
2020,1184
2021,1
