YEAR,Total
2001,103
2002,30
2003,14
2004,16
2005,18
2006,3
2007,16
2008,6
2009,1
2010,0
2011,2
2012,1
2013,6
2014,26
2015,36
2016,18
2017,58
2018,397
2019,681
2020,468
