Year,Violations
2001,1283
2002,1230
2003,1503
2004,2265
2005,3093
2006,3671
2007,4825
2008,5323
2009,5789
2010,5776
2011,6325
2012,6791
2013,7609
2014,7379
2015,7540
2016,10378
2017,14430
2018,18469
2019,20334
2020,12819
