YEAR,Total
2001,5
2002,20
2003,4
2004,6
2005,7
2006,11
2007,24
2008,33
2009,22
2010,35
2011,29
2012,47
2013,57
2014,34
2015,48
2016,102
2017,27
2018,37
2019,119
2020,65
