Date,Count
2001,118
2002,238
2003,160
2004,228
2005,174
2006,202
2007,169
2008,223
2009,327
2010,294
2011,325
2012,253
2013,357
2014,259
2015,399
2016,225
2017,121
2018,152
2019,156
2020,22
