Date,Sum
2010,3642999.3819999993
2011,4086826.267999999
2012,4013539.132
2013,3030877.2939999993
2014,2994200.05
2015,3299446.792000001
2016,3029421.7999999993
2017,3389205.7730000005
2018,3682040.874999999
