Year,Violations
2001,0
2002,0
2003,0
2004,2
2005,36
2006,28
2007,43
2008,66
2009,71
2010,70
2011,97
2012,118
2013,171
2014,224
2015,279
2016,310
2017,302
2018,309
2019,373
2020,281
