YEAR,Total
2001,64
2002,23
2003,43
2004,44
2005,127
2006,110
2007,155
2008,233
2009,290
2010,448
2011,504
2012,500
2013,327
2014,242
2015,374
2016,401
2017,262
2018,269
2019,339
2020,242
