YEAR,Count
2001,0
2002,0
2003,0
2004,0
2005,0
2006,2
2007,9
2008,13
2009,4
2010,10
2011,4
2012,2
2013,10
2014,17
2015,27
2016,9
2017,2
2018,1
2019,0
2020,1
