YEAR,Total
2001,3066
2002,4199
2003,6765
2004,7936
2005,8796
2006,8961
2007,10177
2008,8912
2009,8514
2010,10881
2011,10389
2012,11034
2013,10302
2014,11948
2015,13302
2016,13504
2017,11751
2018,11938
2019,12216
2020,8360
