YEAR,Total
2001,50
2002,127
2003,244
2004,241
2005,270
2006,223
2007,211
2008,121
2009,122
2010,218
2011,160
2012,289
2013,277
2014,451
2015,416
2016,423
2017,490
2018,372
2019,423
2020,257
