Year,Violations
2001,330
2002,635
2003,825
2004,1032
2005,1196
2006,1365
2007,1339
2008,1616
2009,1668
2010,1710
2011,1489
2012,1301
2013,1747
2014,2008
2015,2462
2016,2877
2017,3421
2018,3700
2019,3486
2020,2005
