Year,Violations
2001,82
2002,120
2003,293
2004,244
2005,205
2006,153
2007,164
2008,246
2009,122
2010,143
2011,166
2012,135
2013,186
2014,212
2015,168
2016,164
2017,167
2018,274
2019,239
2020,109
