Year,Violations
2001,125
2002,106
2003,64
2004,83
2005,116
2006,64
2007,121
2008,205
2009,181
2010,170
2011,195
2012,139
2013,149
2014,177
2015,180
2016,170
2017,282
2018,686
2019,882
2020,768
