YEAR,Total
2001,485
2002,469
2003,460
2004,368
2005,270
2006,309
2007,463
2008,512
2009,460
2010,549
2011,450
2012,351
2013,481
2014,522
2015,799
2016,791
2017,756
2018,765
2019,827
2020,493
