YEAR,Total
2001,75
2002,97
2003,120
2004,165
2005,192
2006,249
2007,294
2008,416
2009,517
2010,556
2011,647
2012,923
2013,1091
2014,904
2015,1557
2016,1981
2017,1736
2018,1858
2019,2100
2020,1171
