Year,Violations
2001,5
2002,5
2003,3
2004,13
2005,13
2006,27
2007,16
2008,10
2009,24
2010,78
2011,145
2012,68
2013,99
2014,126
2015,103
2016,118
2017,71
2018,86
2019,104
2020,113
