YEAR,Total
2001,105
2002,166
2003,306
2004,318
2005,441
2006,445
2007,470
2008,433
2009,281
2010,370
2011,381
2012,394
2013,500
2014,553
2015,505
2016,484
2017,416
2018,375
2019,453
2020,394
