YEAR,Total
2001,509
2002,1166
2003,1703
2004,2464
2005,2364
2006,2853
2007,2985
2008,3004
2009,2539
2010,2662
2011,3008
2012,2262
2013,2236
2014,2118
2015,1921
2016,1611
2017,1377
2018,1551
2019,1480
2020,973
