Year,Violations
2001,26
2002,19
2003,23
2004,31
2005,16
2006,30
2007,107
2008,115
2009,188
2010,159
2011,218
2012,141
2013,146
2014,238
2015,276
2016,270
2017,282
2018,334
2019,397
2020,228
