Year,Violations
2001,125
2002,232
2003,277
2004,387
2005,468
2006,499
2007,548
2008,680
2009,663
2010,670
2011,744
2012,839
2013,1031
2014,1285
2015,2939
2016,3248
2017,2783
2018,2341
2019,2099
2020,1042
