Year,Violations
2001,490
2002,538
2003,603
2004,789
2005,1023
2006,1210
2007,3190
2008,5150
2009,4094
2010,5668
2011,5622
2012,5805
2013,7505
2014,8849
2015,8012
2016,8388
2017,10451
2018,13254
2019,12236
2020,7519
